T (K),h (kJ/kg),Pr,u (kJ/kg),Ur (kJ/kg),so (kJ/kg·K)
1360,1467.49,399.10,1077.10,9.780,3.32729
1380,1491.44,424.20,1095.26,9.337,3.34472
1400,1515.42,450.50,1113.52,8.919,3.36201
1420,1539.44,478.00,1131.77,8.526,3.37901
1440,1563.51,506.90,1150.13,8.153,3.39586
1460,1587.63,537.10,1168.49,7.801,3.41247
1480,1611.79,568.90,1186.95,7.468,3.42892
1500,1635.97,601.90,1205.41,7.152,3.44516
1520,1660.23,636.50,1223.87,6.854,3.46120
1540,1684.51,672.80,1242.43,6.569,3.47712
1560,1708.82,710.50,1260.99,6.301,3.49276
1580,1733.17,750.00,1279.65,6.046,3.50829
1600,1757.57,791.20,1298.30,5.804,3.52364
1620,1782.00,834.10,1316.96,5.574,3.53879
1640,1806.46,878.90,1335.72,5.355,3.55381
1660,1830.96,925.60,1354.48,5.145,3.56867
1680,1855.50,974.20,1373.24,4.949,3.58335
1700,1880.10,1025.00,1392.70,4.761,3.59791
1750,1941.60,1161.00,1439.80,4.328,3.6336
1800,2003.30,1310.00,1487.20,3.994,3.6684
1850,2065.30,1475.00,1534.90,3.681,3.7023
1900,2127.40,1655.00,1582.60,3.395,3.7354
1950,2189.70,1852.00,1630.60,3.122,3.7677
2000,2252.10,2068.00,1678.70,2.776,3.7994
2050,2314.60,2303.00,1726.80,2.55,3.8303
2100,2377.70,2559.00,1775.30,2.356,3.8608
2150,2440.30,2837.00,1823.80,2.175,3.8901
2200,2503.20,3138.00,1872.40,2.012,3.9191
2250,2566.40,3464.00,1921.30,1.864,3.9474
